"","Year","Site","Treatment","Block","Plot","Species","Relative.Cover","Mean.Temp","SD.Temp","Richness"
"72",2012,"MAT","NFCT","1","6","Led pal",0.112149533,-9.45,16.82598099,16
"73",2012,"MAT","NFCT","1","6","Pol bis",0.009345794,-9.45,16.82598099,16
"74",2012,"MAT","NFCT","1","6","Rub cha",0.074766355,-9.45,16.82598099,16
"75",2012,"MAT","NFCT","1","6","Vac uli",0.037383178,-9.45,16.82598099,16
"76",2012,"MAT","NFCT","1","6","Vac vit",0.168224299,-9.45,16.82598099,16
"77",2012,"MAT","NFCT","1","7","moss",0.042553191,-9.45,16.82598099,16
"78",2012,"MAT","NFCT","1","7","lichen",0.021276596,-9.45,16.82598099,16
"79",2012,"MAT","NFCT","1","7","litter",0.063829787,-9.45,16.82598099,16
"80",2012,"MAT","NFCT","1","7","bare",0.063829787,-9.45,16.82598099,16
"81",2012,"MAT","NFCT","1","7","Bet nan",0.127659574,-9.45,16.82598099,16
"82",2012,"MAT","NFCT","1","7","Car big",0.010638298,-9.45,16.82598099,16
"83",2012,"MAT","NFCT","1","7","Cas tet",0.010638298,-9.45,16.82598099,16
"84",2012,"MAT","NFCT","1","7","Emp nig",0.042553191,-9.45,16.82598099,16
"85",2012,"MAT","NFCT","1","7","Eri vag",0.319148936,-9.45,16.82598099,16
"86",2012,"MAT","NFCT","1","7","Led pal",0.127659574,-9.45,16.82598099,16
"87",2012,"MAT","NFCT","1","7","Rub cha",0.063829787,-9.45,16.82598099,16
"88",2012,"MAT","NFCT","1","7","Vac uli",0.021276596,-9.45,16.82598099,16
"89",2012,"MAT","NFCT","1","7","Vac vit",0.085106383,-9.45,16.82598099,16
"90",2012,"MAT","NFCT","1","8","moss",0.111111111,-9.45,16.82598099,13
"91",2012,"MAT","NFCT","1","8","lichen",0.018518519,-9.45,16.82598099,13
"92",2012,"MAT","NFCT","1","8","litter",0.055555556,-9.45,16.82598099,13
"93",2012,"MAT","NFCT","1","8","bare",0.074074074,-9.45,16.82598099,13
"94",2012,"MAT","NFCT","1","8","Bet nan",0.074074074,-9.45,16.82598099,13
"95",2012,"MAT","NFCT","1","8","Cas tet",0.009259259,-9.45,16.82598099,13
"96",2012,"MAT","NFCT","1","8","Emp nig",0.037037037,-9.45,16.82598099,13
"97",2012,"MAT","NFCT","1","8","Eri vag",0.407407407,-9.45,16.82598099,13
"98",2012,"MAT","NFCT","1","8","Led pal",0.074074074,-9.45,16.82598099,13
"99",2012,"MAT","NFCT","1","8","Pol bis",0.009259259,-9.45,16.82598099,13
"100",2012,"MAT","NFCT","1","8","Rub cha",0.037037037,-9.45,16.82598099,13
"101",2012,"MAT","NFCT","1","8","Vac vit",0.092592593,-9.45,16.82598099,13
"102",2012,"MAT","NFNP","1","1","moss",0.003952569,-9.45,16.82598099,15
"103",2012,"MAT","NFNP","1","1","litter",0.063241107,-9.45,16.82598099,15
"104",2012,"MAT","NFNP","1","1","Bet nan",0.355731225,-9.45,16.82598099,15
"105",2012,"MAT","NFNP","1","1","Eri vag",0.003952569,-9.45,16.82598099,15
"106",2012,"MAT","NFNP","1","1","Led pal",0.003952569,-9.45,16.82598099,15
"107",2012,"MAT","NFNP","1","1","Rub cha",0.537549407,-9.45,16.82598099,15
"108",2012,"MAT","NFNP","1","1","St. D. Bet.",0.031620553,-9.45,16.82598099,15
"109",2012,"MAT","NFNP","1","2","moss",0.00921659,-9.45,16.82598099,14
"110",2012,"MAT","NFNP","1","2","litter",0.082949309,-9.45,16.82598099,14
"111",2012,"MAT","NFNP","1","2","Bet nan",0.387096774,-9.45,16.82598099,14
"112",2012,"MAT","NFNP","1","2","Eri vag",0.036866359,-9.45,16.82598099,14
